Modele,Accuracy,Precision,Rappel
Arbre From Scratch (Max-Minority),0.9369627507163324,0.9125475285171103,0.9195402298850575
Random Forest From Scratch (Max-Minority),0.9541547277936963,0.9320754716981132,0.946360153256705
DecisionTree scikit-learn (Gini),0.9713467048710601,0.9725490196078431,0.9501915708812261
RandomForest scikit-learn (n=100),0.9813753581661891,0.9881889763779528,0.9616858237547893
